UTM-X,UTM-Y,Depth,Lat,Lon
461608,4.48E+06,62.701,40.4589,-69.4528
424568,4.48E+06,70.7627,40.4897,-69.8901
496796,4.48E+06,79.4919,40.4264,-69.0378
513464,4.47E+06,81.6235,40.4096,-68.8413
480128,4.48E+06,75.4115,40.4428,-69.2343
444940,4.48E+06,68.965,40.4746,-69.6496
530132,4.47E+06,91.4487,40.3925,-68.645
463460,4.48E+06,66.0474,40.459,-69.431
426420,4.48E+06,69.115,40.4899,-69.8682
498648,4.48E+06,77.2763,40.4264,-69.0159
481980,4.48E+06,76.8093,40.4429,-69.2125
515316,4.47E+06,80.2423,40.4096,-68.8195
446792,4.48E+06,68.2623,40.4747,-69.6277
465312,4.48E+06,66.381,40.459,-69.4091
428272,4.48E+06,71.6459,40.49,-69.8464
531984,4.47E+06,90.1168,40.3924,-68.6231
500500,4.48E+06,78.3936,40.4264,-68.9941
483832,4.48E+06,78.4766,40.4429,-69.1907
517168,4.47E+06,81.7915,40.4095,-68.7977
448644,4.48E+06,66.1333,40.4749,-69.6059
430124,4.48E+06,71.9707,40.4902,-69.8245
467164,4.48E+06,68.1803,40.4591,-69.3873
533836,4.47E+06,91.0942,40.3923,-68.6013
502352,4.48E+06,78.5389,40.4264,-68.9723
485684,4.48E+06,80.1173,40.4429,-69.1688
450496,4.48E+06,66.3514,40.475,-69.584
519020,4.47E+06,80.6673,40.4095,-68.7758
431976,4.48E+06,71.1702,40.4903,-69.8027
469016,4.48E+06,71.2792,40.4592,-69.3654
535688,4.47E+06,90.0452,40.3923,-68.5795
504204,4.48E+06,78.1207,40.4264,-68.9504
487536,4.48E+06,80.6631,40.443,-69.147
452348,4.48E+06,65.12,40.4751,-69.5622
433828,4.48E+06,70.8246,40.4905,-69.7808
520872,4.47E+06,83.1937,40.4094,-68.754
470868,4.48E+06,71.6573,40.4592,-69.3436
415308,4.48E+06,66.7959,40.5055,-69.9996
537540,4.47E+06,91.4963,40.3922,-68.5577
454200,4.48E+06,63.9452,40.4752,-69.5403
489388,4.48E+06,80.5812,40.443,-69.1251
506056,4.48E+06,77.7903,40.4264,-68.9286
435680,4.48E+06,70.3075,40.4906,-69.759
472720,4.48E+06,72.4024,40.4593,-69.3218
522724,4.47E+06,84.7288,40.4094,-68.7322
417160,4.48E+06,67.5187,40.5057,-69.9777
456052,4.48E+06,66.0054,40.4753,-69.5185
437532,4.48E+06,70.2908,40.4908,-69.7371
539392,4.47E+06,94.9085,40.3921,-68.5359
491240,4.48E+06,79.4646,40.443,-69.1033
507908,4.48E+06,77.6735,40.4263,-68.9068
474572,4.48E+06,73.0037,40.4594,-69.2999
419012,4.48E+06,67.922,40.5059,-69.9559
524576,4.47E+06,83.9453,40.4093,-68.7104
439384,4.48E+06,70.2264,40.4909,-69.7153
457904,4.48E+06,63.4167,40.4754,-69.4966
493092,4.48E+06,79.9729,40.443,-69.0815
541244,4.47E+06,97.5313,40.392,-68.514
509760,4.48E+06,77.0607,40.4263,-68.8849
